Event_ID;Sport;Event
1;Aeronautics;Aeronautics Mixed Aeronautics
2;Alpinism;Alpinism Mixed Alpinism
3;Archery;Archery Men's Continental Style
4;Archery;Archery Men's Double American Round
5;Archery;Archery Men's Double York Round
6;Archery;Archery Men's Individual
7;Archery;Archery Men's Pole Archery, Large Birds, Individual
8;Archery;Archery Men's Pole Archery, Large Birds, Team
9;Archery;Archery Men's Pole Archery, Small Birds, Individual
10;Archery;Archery Men's Pole Archery, Small Birds, Team
11;Archery;Archery Men's Target Archery, 28 metres, Individual
12;Archery;Archery Men's Target Archery, 28 metres, Team
13;Archery;Archery Men's Target Archery, 33 metres, Individual
14;Archery;Archery Men's Target Archery, 33 metres, Team
15;Archery;Archery Men's Target Archery, 50 metres, Individual
16;Archery;Archery Men's Target Archery, 50 metres, Team
17;Archery;Archery Men's Team
18;Archery;Archery Men's Team Round
19;Archery;Archery Women's Double Columbia Round
20;Archery;Archery Women's Double National Round
21;Archery;Archery Women's Individual
22;Archery;Archery Women's Team
23;Archery;Archery Women's Team Round
24;Art Competitions;Art Competitions Mixed Architecture
25;Art Competitions;Art Competitions Mixed Architecture, Architectural Designs
26;Art Competitions;Art Competitions Mixed Architecture, Designs For Town Planning
27;Art Competitions;Art Competitions Mixed Architecture, Unknown Event
28;Art Competitions;Art Competitions Mixed Literature
29;Art Competitions;Art Competitions Mixed Literature, Dramatic Works
30;Art Competitions;Art Competitions Mixed Literature, Epic Works
31;Art Competitions;Art Competitions Mixed Literature, Lyric Works
32;Art Competitions;Art Competitions Mixed Literature, Unknown Event
33;Art Competitions;Art Competitions Mixed Music
34;Art Competitions;Art Competitions Mixed Music, Compositions For Orchestra
35;Art Competitions;Art Competitions Mixed Music, Compositions For Solo Or Chorus
36;Art Competitions;Art Competitions Mixed Music, Instrumental And Chamber
37;Art Competitions;Art Competitions Mixed Music, Unknown Event
38;Art Competitions;Art Competitions Mixed Music, Vocals
39;Art Competitions;Art Competitions Mixed Painting
40;Art Competitions;Art Competitions Mixed Painting, Applied Arts
41;Art Competitions;Art Competitions Mixed Painting, Drawings And Water Colors
42;Art Competitions;Art Competitions Mixed Painting, Graphic Arts
43;Art Competitions;Art Competitions Mixed Painting, Paintings
44;Art Competitions;Art Competitions Mixed Painting, Unknown Event
45;Art Competitions;Art Competitions Mixed Sculpturing
46;Art Competitions;Art Competitions Mixed Sculpturing, Medals
47;Art Competitions;Art Competitions Mixed Sculpturing, Medals And Plaques
48;Art Competitions;Art Competitions Mixed Sculpturing, Medals And Reliefs
49;Art Competitions;Art Competitions Mixed Sculpturing, Reliefs
50;Art Competitions;Art Competitions Mixed Sculpturing, Statues
51;Art Competitions;Art Competitions Mixed Sculpturing, Unknown Event
52;Art Competitions;Art Competitions Mixed Unknown Event
53;Athletics;Athletics Men's 1,500 metres
54;Athletics;Athletics Men's 1,600 metres Medley Relay
55;Athletics;Athletics Men's 10 kilometres Walk
56;Athletics;Athletics Men's 10 mile Walk
57;Athletics;Athletics Men's 10,000 metres
58;Athletics;Athletics Men's 100 metres
59;Athletics;Athletics Men's 110 metres Hurdles
60;Athletics;Athletics Men's 2,590 metres Steeplechase
61;Athletics;Athletics Men's 20 kilometres Walk
62;Athletics;Athletics Men's 200 metres
63;Athletics;Athletics Men's 200 metres Hurdles
64;Athletics;Athletics Men's 3 mile, Team
65;Athletics;Athletics Men's 3,000 metres Steeplechase
66;Athletics;Athletics Men's 3,000 metres Walk
67;Athletics;Athletics Men's 3,000 metres, Team
68;Athletics;Athletics Men's 3,200 metres Steeplechase
69;Athletics;Athletics Men's 3,500 metres Walk
70;Athletics;Athletics Men's 4 mile, Team
71;Athletics;Athletics Men's 4 x 100 metres Relay
72;Athletics;Athletics Men's 4 x 400 metres Relay
73;Athletics;Athletics Men's 400 metres
74;Athletics;Athletics Men's 400 metres Hurdles
75;Athletics;Athletics Men's 5 mile
76;Athletics;Athletics Men's 5,000 metres
77;Athletics;Athletics Men's 50 kilometres Walk
78;Athletics;Athletics Men's 56-pound Weight Throw
79;Athletics;Athletics Men's 60 metres
80;Athletics;Athletics Men's 800 metres
81;Athletics;Athletics Men's All-Around Championship
82;Athletics;Athletics Men's Cross-Country, Individual
83;Athletics;Athletics Men's Cross-Country, Team
84;Athletics;Athletics Men's Decathlon
85;Athletics;Athletics Men's Discus Throw
86;Athletics;Athletics Men's Discus Throw, Both Hands
87;Athletics;Athletics Men's Discus Throw, Greek Style
88;Athletics;Athletics Men's Hammer Throw
89;Athletics;Athletics Men's High Jump
90;Athletics;Athletics Men's Javelin Throw
91;Athletics;Athletics Men's Javelin Throw, Both Hands
92;Athletics;Athletics Men's Javelin Throw, Freestyle
93;Athletics;Athletics Men's Long Jump
94;Athletics;Athletics Men's Marathon
95;Athletics;Athletics Men's Pentathlon
96;Athletics;Athletics Men's Pole Vault
97;Athletics;Athletics Men's Shot Put
98;Athletics;Athletics Men's Shot Put, Both Hands
99;Athletics;Athletics Men's Standing High Jump
100;Athletics;Athletics Men's Standing Long Jump
101;Athletics;Athletics Men's Standing Triple Jump
102;Athletics;Athletics Men's Triple Jump
103;Athletics;Athletics Women's 1,500 metres
104;Athletics;Athletics Women's 10 kilometres Walk
105;Athletics;Athletics Women's 10,000 metres
106;Athletics;Athletics Women's 100 metres
107;Athletics;Athletics Women's 100 metres Hurdles
108;Athletics;Athletics Women's 20 kilometres Walk
109;Athletics;Athletics Women's 200 metres
110;Athletics;Athletics Women's 3,000 metres
111;Athletics;Athletics Women's 3,000 metres Steeplechase
112;Athletics;Athletics Women's 4 x 100 metres Relay
113;Athletics;Athletics Women's 4 x 400 metres Relay
114;Athletics;Athletics Women's 400 metres
115;Athletics;Athletics Women's 400 metres Hurdles
116;Athletics;Athletics Women's 5,000 metres
117;Athletics;Athletics Women's 80 metres Hurdles
118;Athletics;Athletics Women's 800 metres
119;Athletics;Athletics Women's Discus Throw
120;Athletics;Athletics Women's Hammer Throw
121;Athletics;Athletics Women's Heptathlon
122;Athletics;Athletics Women's High Jump
123;Athletics;Athletics Women's Javelin Throw
124;Athletics;Athletics Women's Long Jump
125;Athletics;Athletics Women's Marathon
126;Athletics;Athletics Women's Pentathlon
127;Athletics;Athletics Women's Pole Vault
128;Athletics;Athletics Women's Shot Put
129;Athletics;Athletics Women's Triple Jump
130;Badminton;Badminton Men's Doubles
131;Badminton;Badminton Men's Singles
132;Badminton;Badminton Mixed Doubles
133;Badminton;Badminton Women's Doubles
134;Badminton;Badminton Women's Singles
135;Baseball;Baseball Men's Baseball
136;Basketball;Basketball Men's Basketball
137;Basketball;Basketball Women's Basketball
138;Beach Volleyball;Beach Volleyball Men's Beach Volleyball
139;Beach Volleyball;Beach Volleyball Women's Beach Volleyball
140;Boxing;Boxing Men's Bantamweight
141;Boxing;Boxing Men's Featherweight
142;Boxing;Boxing Men's Flyweight
143;Boxing;Boxing Men's Heavyweight
144;Boxing;Boxing Men's Light-Flyweight
145;Boxing;Boxing Men's Light-Heavyweight
146;Boxing;Boxing Men's Light-Middleweight
147;Boxing;Boxing Men's Lightweight
148;Boxing;Boxing Men's Light-Welterweight
149;Boxing;Boxing Men's Middleweight
150;Boxing;Boxing Men's Super-Heavyweight
151;Boxing;Boxing Men's Welterweight
152;Boxing;Boxing Women's Flyweight
153;Boxing;Boxing Women's Lightweight
154;Boxing;Boxing Women's Middleweight
155;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres
156;Canoeing;Canoeing Men's Canadian Doubles, 10,000 metres
157;Canoeing;Canoeing Men's Canadian Doubles, 500 metres
158;Canoeing;Canoeing Men's Canadian Doubles, Slalom
159;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres
160;Canoeing;Canoeing Men's Canadian Singles, 10,000 metres
161;Canoeing;Canoeing Men's Canadian Singles, 200 metres
162;Canoeing;Canoeing Men's Canadian Singles, 500 metres
